2025-03-27 12:02:24; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead Start, Command = 3
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 18844] USH_COMMAND_INIT Start
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 18844] StartRunning, Name: AEF Core, RunningThread 00000000000009E0
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 18844] ---Started to run library AEF Core OK---
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 17912] Before Library AEF Core initialize
2025-03-27 12:02:24; INFO; AEF Core; 13716; 17912] (UWPInfoMonitor(ArmouryCrate))ROG System:False
2025-03-27 12:02:24; INFO; AEF Core; 13716; 17912] (UWPInfoMonitor(ArmouryCrate))UWP Info:{
  IsInstalled:1,
  PPAgreed:1,
  PPRead:1,
  Version:5.9.14.0,
}
2025-03-27 12:02:24; INFO; AEF Core; 13716; 17912] (UWPInfoMonitor(MyASUS))UWP Info:{
  IsInstalled:1,
  Version:4.0.34.0,
}
2025-03-27 12:02:24; INFO; AEF Core; 13716; 17912] Core Attributes:([ModelName]:FX506LI) ([ProductLine]:1) ([SerialNumber]:L9NRCX06333339A) ([SubBrand]:2) ([SubBrandStyle]:0) ([SystemDeviceUUID]:011ed9e2-b35b-4921-8bb5-7dd7658abf13) ([SystemFamilyName]:ASUS TUF Gaming F15) 
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 17912] (43)Library AEF Core initialize OK
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 18844] USH_COMMAND_INIT End
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead End, Command = 3
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead Start, Command = 3
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 18844] USH_COMMAND_INIT Start
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 18844] StartRunning, Name: WebSocketClientPlugin, RunningThread 0000000000000A24
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 18844] ---Started to run library WebSocketClientPlugin OK---
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 4516] Before Library WebSocketClientPlugin into AddChildLibrary
2025-03-27 12:02:24; INFO; WebSocketClientPlugin; 13716; 4516] DoReconnectWebSocketServer Creating Connecting Thread
